,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
230,Centre,Bureau,Compliant,9,1.0,37,1052469,46.29999924,14
231,Centre,Bureau,Compliant,4,1.0,42,617684,115.9000015,43
232,Centre,Bureau,Compliant,3,1.0,8,201480,44.29999924,109
233,Centre,Bureau,Compliant,2,1.0,63,1354987,50.40000153,26
234,Centre,Bureau,Compliant,3,1.0,14,310490,71.0,15
235,Centre,Bureau,Compliant,4,1.0,8,199530,73.19999695,13
236,Centre,Bureau,Compliant,2,1.0,13,372242,43.29999924,10
237,Centre,Bureau,Compliant,1,1.0,7,114395,28.39999962,107
238,Nord,Supermarché,Compliant,1,1.0,2,89200,72.40000153,38
239,Nord,Bureau,Compliant,1,1.0,23,474546,60.0,45
240,Nord,Autre,Compliant,1,1.0,5,36000,834.4000244,47
241,Nord,Bureau,Compliant,1,0.0,5,99005,59.40000153,55
242,Nord,Bureau,Compliant,2,1.0,6,135051,46.09999847,14
243,Nord,Bureau,Compliant,2,1.0,5,220649,48.29999924,14
244,Centre,Industriel,Compliant,1,1.0,5,93660,9.300000191,52
245,Centre,Bureau,Compliant,2,1.0,18,413715,69.59999847,36
246,Centre,Autre,Compliant,3,1.0,11,381381,48.40000153,16
247,Centre,Bureau,Compliant,2,1.0,20,497513,73.0,28
248,Centre,Bureau,Compliant,2,1.0,24,543876,59.70000076,37
249,Centre,Autre,Compliant,3,1.0,4,109347,116.3000031,36
250,Centre,Bureau,Compliant,2,1.0,6,396626,74.30000305,34
251,Centre,Bureau,Compliant,4,1.0,6,287471,74.90000153,14
252,Centre,Bureau,Compliant,2,1.0,3,192630,36.70000076,69
253,Centre,Bureau,Compliant,4,1.0,8,253103,161.1999969,32
254,Nord,Supermarché,Compliant,1,1.0,1,60880,231.8000031,60
255,Centre,Bureau,Compliant,3,1.0,5,50176,46.59999847,116
256,Centre,Bureau,Compliant,4,1.0,42,304346,88.40000153,104
257,Sud,Industriel,Compliant,2,1.0,1,128800,14.0,39
258,Centre,Bureau,Compliant,3,1.0,8,321945,60.40000153,89
259,Centre,Bureau,Compliant,3,1.0,22,336330,71.90000153,52
260,Centre,Bureau,Compliant,3,1.0,21,298426,90.69999695,56
261,Centre,Bureau,Compliant,5,1.0,42,635824,62.90000153,40
262,Centre,Détente,Compliant,2,1.0,12,542305,104.1999969,93
263,Sud,Supermarché,Compliant,2,1.0,2,291940,40.0,36
264,Sud,Autre,Compliant,3,0.0,1,88400,48.29999924,46
265,Nord,Industriel,Compliant,1,1.0,1,52311,18.20000076,56
266,Centre,Autre,Compliant,3,1.0,5,141131,43.09999847,7
267,Centre,Bureau,Compliant,2,1.0,5,176532,56.09999847,15
268,Nord,Industriel,Compliant,2,1.0,1,52500,72.19999695,43
269,Nord,Industriel,Compliant,2,1.0,2,57300,79.59999847,57
270,Centre,Bureau,Compliant,3,1.0,6,350310,53.29999924,100
271,Centre,Bureau,Compliant,4,1.0,55,1400000,46.70000076,28
272,Centre,Détente,Compliant,1,1.0,21,305548,108.8000031,86
273,Centre,Bureau,Compliant,6,1.0,46,1536606,51.90000153,27
274,Centre,Bureau,Compliant,1,1.0,10,135918,44.40000153,58
275,Centre,Supermarché,Compliant,2,1.0,4,79957,80.30000305,102
