,Quartier,AgeBatiment,NombreUtilisations,PremierTypePropriete,NombreBatiments,NombreEtages,SurfacePlancherTotal,SurfaceTotaleParking,SurfaceTotaleHorsParking,ListeUtilisationsBatiment,UtilisationPrincipale,SurfaceUtilisationPrincipale,UtilisationSecondaire,SurfaceUtilisationSecondaire,UtilisationTertiaire,SurfaceUtilisationTertiaire,Conformité,ConsoSite/S(kBtu/sf),ConsoSiteNorm/S(kBtu/sf),ConsoSource/S(kBtu/sf),ConsoSourceNorm/S(kBtu/sf),ConsoSiteTot(kBtu),ConsoSiteTotNorm(kBtu),Vapeur(kBtu),Électricité(kBtu),GazNaturel(kBtu),EmissionGES,IntensiteGES/S,TrancheAge,Pertes/S(kBtu/sf),ProportionVapeur,ProportionElectricité,ProportionGazNaturel,Latitude,Longitude,Zone,clusters_kmeans
344,LAKE UNION,62,5,Mixed Use Property,1.0,3,67380,0,67380,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",Non-Refrigerated Warehouse,29732.0,Office,17372.0,Other - Entertainment/Public Assembly,13639.0,Compliant,42.09999847,46.79999924,94.19999695,99.19999695,2755829.0,3066491.25,0.0,1566221.0,1189608.0,74.1,1.1,"[58,87[",52.09999848,0.0,0.5683302556145537,0.4316697443854462,47.62002,-122.33687,Centre,1
345,LAKE UNION,53,1,Laboratory,1.0,4,102235,0,102235,Laboratory,Laboratory,103135.0,Aucune,0.0,Aucune,0.0,Compliant,236.5,241.5,559.5,559.7000122,24395228.0,24903228.0,0.0,15355254.0,9039972.0,587.16,5.74,"[29,58[",323.0,0.0,0.6294367898508676,0.3705631281658855,47.62405,-122.34036,Centre,2
346,LAKE UNION,8,3,Mixed Use Property,1.0,5,436497,153684,282813,"Laboratory, Office, Parking",Laboratory,175364.0,Parking,173235.0,Office,88901.0,Compliant,171.1999969,180.1999969,417.0,427.6000061,45252356.0,47629656.0,0.0,29992691.0,15259662.0,1019.53,2.34,"[0,29[",245.8000031,0.0,0.662787391666414,0.3372125420386951,47.62405,-122.34036,Centre,1
347,MAGNOLIA / QUEEN ANNE,42,2,Small- and Mid-Sized Office,1.0,5,88062,20826,67236,"Office, Parking",Office,64752.0,Parking,21396.0,Aucune,0.0,Compliant,52.70000076,55.0,165.6000061,172.6000061,3415561.25,3558562.5,0.0,3415561.0,0.0,23.81,0.27,"[29,58[",112.90000534,0.0,0.9999999268055872,0.0,47.62115,-122.3597,Centre,1
348,MAGNOLIA / QUEEN ANNE,44,2,Small- and Mid-Sized Office,1.0,5,87178,20416,66762,"Office, Parking",Office,66648.0,Parking,15167.0,Aucune,0.0,Compliant,54.5,57.59999847,171.1000061,180.8000031,3632613.75,3838006.75,0.0,3632614.0,0.0,25.32,0.29,"[29,58[",116.6000061,0.0,1.0000000688209694,0.0,47.62224,-122.3585,Centre,1
349,MAGNOLIA / QUEEN ANNE,46,2,Small- and Mid-Sized Office,1.0,5,87178,20416,66762,"Office, Parking",Office,66747.0,Parking,28285.0,Aucune,0.0,Compliant,52.29999924,55.5,164.3000031,174.3000031,3493093.75,3705629.0,0.0,3493093.0,0.0,24.35,0.28,"[29,58[",112.00000386,0.0,0.999999785290618,0.0,47.62224,-122.3585,Centre,1
350,MAGNOLIA / QUEEN ANNE,45,2,Small- and Mid-Sized Office,1.0,5,88000,21600,66400,"Office, Parking",Office,69691.0,Parking,17487.0,Aucune,0.0,Compliant,50.0,0.0,157.0,0.0,3484915.5,0.0,0.0,3484915.0,0.0,24.29,0.28,"[29,58[",107.0,0.0,0.9999998565244982,0.0,47.62014,-122.35768,Centre,1
351,NORTHEAST,28,2,Medical Office,1.0,4,196749,88405,108344,"Medical Office, Parking",Medical Office,108344.0,Parking,88405.0,Aucune,0.0,Compliant,176.8999939,182.0,411.5,416.2999878,19165116.0,19718338.0,0.0,11703547.0,7461566.0,477.87,2.43,"[0,29[",234.6000061,0.0,0.610669249275611,0.3893305941899856,47.65821,-122.31831,Nord,2
352,NORTHEAST,22,1,Medical Office,1.0,4,191276,95281,95995,Medical Office,Medical Office,95995.0,Aucune,0.0,Aucune,0.0,Compliant,87.69999695,87.69999695,266.3999939,266.3999939,8422861.0,8422861.0,0.0,8005293.0,417567.0,77.99,0.41,"[0,29[",178.69999695,0.0,0.9504244460403656,0.0495754352351297,47.65884,-122.3183,Nord,1
353,BALLARD,70,11,Self-Storage Facility,2.0,2,111445,0,111445,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Restaurant/Bar, Outpatient Rehabilitation/Physical Therapy, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store, Self-Storage Facility, Vocat",Self-Storage Facility,111445.0,Aucune,0.0,Aucune,0.0,Compliant,47.79999924,51.0,103.0,106.4000015,5697472.5,6076957.0,0.0,3007514.0,2689958.0,163.83,1.47,"[58,87[",55.20000076,0.0,0.5278681029175656,0.4721318093242223,47.66838,-122.3931,Nord,0
354,SOUTHWEST,19,1,Warehouse,1.0,4,98475,0,98475,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98475.0,Aucune,0.0,Aucune,0.0,Compliant,11.10000038,12.0,27.89999962,28.89999962,1090496.625,1178591.625,0.0,768997.0,321500.0,22.44,0.23,"[0,29[",16.79999924,0.0,0.7051805410218487,0.2948198028581702,47.56885,-122.37121,Sud,1
355,LAKE UNION,16,1,Hospital,1.0,7,351530,150455,201075,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),215602.0,Aucune,0.0,Aucune,0.0,Compliant,198.1000061,200.3000031,467.6000061,465.1000061,42709624.0,43178016.0,0.0,26781892.0,15927728.0,1032.63,2.94,"[0,29[",269.5,0.0,0.6270692525881286,0.3729306537561651,47.62667,-122.32965,Centre,2
